,sr,section,date,datetime_from,datetime_to,delay_minutes,equipment,problem_description,restart_steps,one_year,two_year,three_year,four_year,five_year,corrective_action,preventive_action,status,actual_action_taken,capa_event_date,capa_start_time,capa_end_time,capa_event_time
0,4,16MM,2023-08-02 00:00:00,2023-02-08 21:27:00,2023-02-08 21:49:00,21,LINE 01,METAL BROKEN IN LINE 1 DUE TO BAD METAL SO OVERSHOOT HAPPENED. ,COBBLE CLEARED & MILL STARTED,,,,,,,,PENDING,,,2023-08-02 21:27:00,2023-08-02 21:49:00,2023-08-02
1,7,8MM,2023-08-03 00:00:00,2023-03-08 22:01:00,2023-03-08 22:20:00,19,BGV 2,HEAD COBBLE IN LINE.2 BGV DUE TO CHIPS.(1C+1H).,COBBLE CLEARED & MILL STARTED,EXTERNAL BILLET,,,,,,,DONE ,,,2023-08-03 22:01:00,2023-08-03 22:20:00,2023-08-03
2,8,8MM,2023-08-04 00:00:00,2023-04-08 00:09:00,2023-04-08 00:28:00,19,TWIN CHANNEL 1 A,UNDERSHOOT IN TWC 1A DUE TO MATERIAL HIT.(1C).,COBBLE CLEARED & MILL STARTED,UNDERSHOOT IN TWC 1A DUE TO MATERIAL HIT.(1C).,,,,,"ALL PARAMETER FOUND OK , ON TRIAL BASIS IN NEXT CAMPAIGN CVH WILL BE RESET BY 3MM PLATE.",,DONE ,,,2023-08-04 00:09:00,2023-08-04 00:28:00,2023-08-04
3,9,8MM,2023-08-04 00:00:00,2023-04-08 09:30:00,2023-04-08 09:45:00,15,BGV2,COBBLE IN BGV 2 DUE TO FRONT END KNOCKED IN STAND 22 DEL GUIDE. ONE BILLET HOT OUT. (1H).,COBBLE CLEARED & MILL STARTED,DELIVERY GUIDE KNOCKED OUT,DELIVERY NOSE FOUND BEND ,DELIVERY GUIDE CAME OUT FOR ITS POSITION,CLAMPING ARRANGEMENT CAME OUT ,,"1.CLAMMING ATTACHMENT CHANGING SCHEDULE TO BE FIX.
","1.CLAMMING ATTACHMENT CHANGING SCHEDULE TO BE FIX.
",DONE ,,,2023-08-04 09:30:00,2023-08-04 09:45:00,2023-08-04
4,10,8MM,2023-08-04 00:00:00,2023-04-08 09:58:00,2023-04-08 10:13:00,15,LINE 1,METAL BROKEN IN LINE 1 DUE TO BAD METAL. ONE BILLET HOT OUT. (1H),COBBLE CLEARED & MILL STARTED,EXTERNAL BILLET,,,,,,,DONE ,,,2023-08-04 09:58:00,2023-08-04 10:13:00,2023-08-04
5,11,8MM,2023-08-04 00:00:00,2023-04-08 21:27:00,2023-04-08 21:58:00,31,BGV 2,"MATERIAL HEAD COBBLE IN LINE 2 BGV AT STAND 21 ENTRY GUIDE DUE TO CHIPS DURING THIS STAND 11,12 PASS CHANGED, STAND 14 AND BOTH BGV ALL RE GUIDE CHANGED, BOTH LINE DIVIDE SHEAR BLADE CHANGED, MILL AND WATERBOX CHECKED.",COBBLE CLEARED & MILL STARTED,EXTERNAL BILLET,,,,,,,DONE ,,,2023-08-04 21:27:00,2023-08-04 21:58:00,2023-08-04
6,12,8MM,2023-08-05 00:00:00,2023-05-08 04:53:00,2023-05-08 05:12:00,19,BGV 2,MATERIAL HEAD COBBLE IN LINE 2 BGV AT STAND 18 DUE TO CHIPS.,COBBLE CLEARED & MILL STARTED,EXTERNAL BILLET,,,,,,,DONE ,,,2023-08-05 04:53:00,2023-08-05 05:12:00,2023-08-05
7,13,8MM,2023-08-05 00:00:00,2023-05-08 11:44:00,2023-05-08 12:34:00,50,BGV 1 & 2,COBBLE IN BOTH LINE BGV DUE TO CHIPS.,COBBLE CLEARED & MILL STARTED,EXTERNAL BILLET,,,,,,,DONE ,,,2023-08-05 11:44:00,2023-08-05 12:34:00,2023-08-05
8,14,8MM,2023-08-05 00:00:00,2023-05-08 13:01:00,2023-05-08 13:20:00,19,BGV 2,HEAD COBBLE IN LINE.2 BGV.,COBBLE CLEARED & MILL STARTED,EXTERNAL BILLET,,,,,,,DONE ,,,2023-08-05 13:01:00,2023-08-05 13:20:00,2023-08-05
9,16,8MM,2023-08-05 00:00:00,2023-05-08 23:10:00,2023-05-08 23:29:00,20,TWIN CHANNEL 1 B,COBBLE DUE TO BAR KNOCKED IN TWIN CHANNEL 1B. (1C+1H),COBBLE CLEARED & MILL STARTED,,,,,,"ALL PARAMETER FOUND OK , ON TRIAL BASIS IN NEXT CAMPAIGN CVH WILL BE RESET BY 3MM PLATE.",,DONE ,,,2023-08-05 23:10:00,2023-08-05 23:29:00,2023-08-05
10,17,8MM,2023-08-06 00:00:00,2023-06-08 01:49:00,2023-06-08 01:59:00,10,PINCH ROLL 2_2,METAL BROKEN IN LINE 2 AT 95% SPEED. ONE BILLET HOT OUT (1H),COBBLE REMOVED AND MILL STARTED,COBBLE AT BGV AND SH-1 CHOPPING,HEAD BROKEN FROM PINCH ROLL-2,SLIPPAGE IN PINCH ROLL DUE TO FLUTTERING,DURING RAMP UP IN SPEED,,"1. SPEED DECREASED
2. PINCH ROLL PARTING CHECKED
3. WATER BOX -1 COOLER -1/9 CLOSED 
4.PRESSURE INCREASED OF WATER BOX
5. CLOSING PRESSURE DECREASED 0.2 BAR","1. PINCHROLL AXIAL /RADIAL PLAY TO BE CHECKED DURING CENTRAL LINE ROLLING
2. PNEUMATIC VALVE TO BE REPLACED BY CHECKING RESPONSE TIME
3. CYLINDER TO BE CHECKED DURING CENTRAL LINE ROLLING
4. WATER BOX COOLER AND STRIPPER ID TO BE PROPERLY CHECKED DURING CENTRAL LINE ROLLING
5.ENTRY/EXIT FUNNEL ID TO BE CROSSS CHECKED THROUGHLY
6.ALL THESE POINTS TO BE INCORPORATED IN CHECKLIST FOR OPERATION AND MECHANICAL",DONE ,,,2023-08-06 01:49:00,2023-08-06 01:59:00,2023-08-06
11,18,8MM,2023-08-06 00:00:00,2023-06-08 02:40:00,2023-06-08 02:51:00,11,PINCH ROLL 2_1,METAL BROKEN IN LINE 1 AT 94% SPEED. (1C+1H),COBBLE REMOVED AND MILL STARTED,COBBLE AT BGV AND SH-1 CHOPPING,HEAD BROKEN FROM PINCH ROLL-2,SLIPPAGE IN PINCH ROLL DUE TO FLUTTERING,DURING RAMP UP IN SPEED,,"1. SPEED DECREASED
2. PINCH ROLL PARTING CHECKED
3. WATER BOX -1 COOLER -1/9 CLOSED 
4.PRESSURE INCREASED OF WATER BOX
5. CLOSING PRESSURE DECREASED 0.2 BAR","1. PINCHROLL AXIAL /RADIAL PLAY TO BE CHECKED DURING CENTRAL LINE ROLLING
2. PNEUMATIC VALVE TO BE REPLACED BY CHECKING RESPONSE TIME
3. CYLINDER TO BE CHECKED DURING CENTRAL LINE ROLLING
4. WATER BOX COOLER AND STRIPPER ID TO BE PROPERLY CHECKED DURING CENTRAL LINE ROLLING
5.ENTRY/EXIT FUNNEL ID TO BE CROSSS CHECKED THROUGHLY
6.ALL THESE POINTS TO BE INCORPORATED IN CHECKLIST FOR OPERATION AND MECHANICAL",DONE ,,,2023-08-06 02:40:00,2023-08-06 02:51:00,2023-08-06
12,19,8MM,2023-08-06 00:00:00,2023-06-08 06:25:00,2023-06-08 06:49:00,24,TWIN CHANNEL 1 A,UNDERSHOOT IN LINE 1A DUE TO MATERIAL HIT AT TWIN CHANNAL.,COBBLE CLEARED & MILL STARTED,,,,,,"ALL PARAMETER FOUND OK , ON TRIAL BASIS IN NEXT CAMPAIGN CVH WILL BE RESET BY 3MM PLATE.",,DONE ,,,2023-08-06 06:25:00,2023-08-06 06:49:00,2023-08-06
13,20,10MM,2023-08-06 00:00:00,2023-06-08 19:55:00,2023-06-08 20:18:00,23,TAIL BREAKER 2_1B,OVERSHOOT IN 1B DUE TO SLIPPAGE AT 96% SPEED. (1C+1H).,COBBLE CLEARED & MILL STARTED,OVERSHOOT IN 1B DUE TO SLIPPAGE AT 96% SPEED. (1C+1H).,MATERIAL NOT BREAKING ,PNEUMATIC SYSTEM MALFUCTION,,,PNEUMATIOC SYSTEM HIGH PRESSURE VALVE CHECKING IN PROCESS,,PENDING,,,2023-08-06 19:55:00,2023-08-06 20:18:00,2023-08-06
14,22,10MM,2023-08-07 00:00:00,2023-07-08 03:14:00,2023-07-08 03:57:00,43,DIVIDE SHEAR L1,TWO PIECE FOUND IN LINE,COBBLE CLEARED & MILL STARTED,TWO PIECE FOUND IN LINE,,,,,,"1.BLADE RESETTING PROCESS WILL CHANGED FROM 5MM TEMPLATE TO 3MM.
",DONE ,,,2023-08-07 03:14:00,2023-08-07 03:57:00,2023-08-07
15,23,,2023-08-07 00:00:00,2023-07-08 18:15:00,2023-07-08 18:37:00,22,BGV 1,"MATERIAL TAIL COBBLE IN LINE 1 BGV DUE TO CHIPS ACCUMULATION IN STAND 18 RE GUIDE. DURING THIS STAND 11 AND BOTH BGV ALL RE GUIDE CHANGED, MILL AND WATERBOX CHECKED.",,,,,,,,,DONE ,,,2023-08-07 18:15:00,2023-08-07 18:37:00,2023-08-07
16,24,14MM,2023-08-08 00:00:00,2023-08-08 10:41:00,2023-08-08 10:59:00,18,BGV2,LOOPING IN BETWEEN STAND #19&#20,"COBBLE REMOVED ,
STOCK ADJUSTED OF #14 AS PER REQUIREMENT 
AND MILL STARTED",COBBLE IN BGV L2 BETWEEN #19&#20,LOOPING IN BETWEEN STAND #19&#20,STOCK OF #14 FOUND 23MM INSTEAD OF 22.4MM,ROLLER KEPT 3MM INPLACE OF 2.3MM IN LCS,,"1. AFTER COBBLE STOCK OF S14 RECHEDKED 
2. S14 ROLL GAP MADE 2.4MM INSTEAD OF 3.0MM 
3.",1.STOCK AND PARTING WILL BE CROSS CHECKED BY SM,DONE ,,,2023-08-08 10:41:00,2023-08-08 10:59:00,2023-08-08
17,28,16MM,2023-08-10 00:00:00,2023-10-08 11:08:00,2023-10-08 11:26:00,18,TWIN CHANNEL 1 B,TWO BAR WENT IN SAME TWIN CHANNEL 1B DUE TO LESS TIME AT DIVERTER SO OVERSHOOT HAPPENED. (1C+1H),COBBLE REMOVED AND MILL STARTED,INERBILLET TIME LESS THAN 2 SECOND,DIVERTER SWITCH TIME INBETWEEN TAIL AND HEAD OF NEW BILLET IS 2.5 SEC,SO LAST PIECE AND FIRST PIECE WENT IN SAME LINE,,,"1.INTERBILLET INCREASED TO 4 SECONDS
2. MODIFICATIONS NORMALIZED
3.SHEAR-1 INTERBILLET TIME INCREASED TO 2.5SEC FOR GAPCHOP",1. INTERBILLET SHOULD BE MORE THAN 4SEC IN ALL SECTION FOR SAFETY OF DIVERTER CYCLE,DONE ,interbillet maintained more than 4 seconds,,2023-08-10 11:08:00,2023-08-10 11:26:00,2023-08-10
18,47,16MM,2023-08-18 00:00:00,18/08 04:47:25,18/08 05:03:04,16,DIVIDE SHEAR L2,DRA/DRM/Feeder Tripped,COBBLE REMOVED AND MILL STARTED,INERBILLET TIME LESS THAN 2 SECOND,DIVERTER SWITCH TIME INBETWEEN TAIL AND HEAD OF NEW BILLET IS 2.5 SEC,,,,"1.INTERBILLET INCREASED TO 4 SECONDS
2. MODIFICATIONS NORMALIZED
3.SHEAR-1 INTERBILLET TIME INCREASED TO 2.5SEC FOR GAPCHOP",1. INTERBILLET SHOULD BE MORE THAN 4SEC IN ALL SECTION FOR SAFETY OF DIVERTER CYCLE,DONE ,interbillet maintained more than 4 seconds,,2023-08-18 04:47:25,2023-08-18 05:03:04,2023-08-18
19,48,16MM,2023-08-18 00:00:00,18/08 21:51:53,18/08 22:11:01,19,STAND 10,HEAD COBBLE IN STD.10 ENTRY DUE TO CHIPS.(1H).,,,,,,,,,DONE ,,,2023-08-18 21:51:53,2023-08-18 22:11:01,2023-08-18
