,delay_orig_date,size,billet_size,cobble,hot_out,delay_from,delay_to,delay_minutes,total_delay_hm,area,device,agency,reason,description,delay_event_date,delay_start_time,delay_end_time,relation_status,related_df2_rows,sr,section,last_occurrence_date,date_capa,datetime_from,datetime_to,capa_delay_minutes,equipment,problem_description,restart_steps,one_year,two_year,three_year,four_year,five_year,corrective_action,preventive_action,responsibility,target_date,status,actual_action_taken,capa_event_date,capa_start_time,capa_end_time,capa_orig_date
0,2024-01-01 00:00:00,25 mm,150X150,1,,2024-01-01 02:57:30,2024-01-01 04:11:53,74.38333333333334,01:14,MILL AREA,STAND 6,OPERATION,HEAD SLIPPED,"BILLET HEAD SLIPPED IN STAND 06 ENTRY, COBBLE IN ROUGHING MILL. (1C)",2024-01-01,2024-01-01 02:57:30,2024-01-01 04:11:53,related,[221],415,25 mm,,,2024-01-01 02:57:00,2024-01-01 04:11:00,74,STAND 6,"BILLET HEAD SLIPPED IN STAND 06 ENTRY, COBBLE IN ROUGHING MILL. (1C)",GRINDING AND HEATING DONE BY TAKING OUT THE STAND,SLIPPAGE IN NEW PASS,PASS WAS NOT PROPER GRINDED AND HEATED,PASS GRINDED AT THE THE LOCATION (WITHOUT TAKING OUT THE STAND),,, PASS CHANGE IN VERTICAL STAND TO BE  DONE BY TAKING OUT THE STAND OUTSIDE,"SOP TO BE MADE MENTIONING PSS CHANGE GRINDING OF VERTICAL STAND TO BE DONE BY TAKING STAND OUT
COMMUNICATION OF THE CHANGE TO BE INFORMED TO ALL THE INCHARGES AND FEEDBACK  TO BE TAKEN",,,DONE ,,2024-01-01,2024-01-01 02:57:00,2024-01-01 04:11:00,2024-01-01 00:00:00
1,2024-01-02 00:00:00,10 mm,165X165,1,1.0,2024-02-01 09:26:31,2024-02-01 09:30:12,3.6833333333333336,00:04,MILL AREA,STAND 13,ROLL SHOP,ROLL CROSS,1ST BILLET COBBLE BETWEEN STD.13 & STD.14. TROUGH CHANGED,2024-01-02,2024-01-02 09:26:31,2024-01-02 09:30:12,related,[223],417,10 mm,,,2024-02-01 09:26:00,2024-02-01 09:49:00,23,STAND 13,1ST BILLET COBBLE BETWEEN STD.13 & STD.14. TROUGH CHANGED.,STAND CHANGED,ACTUAL PROBLEM MENTIONED IN SR 429,MATERIAL TWIST,TOP BOTTOM PASS IMPRESSION SHOWING CROSS,AXIAL PLAY IN TOP ROLL (0.08 TO 0.085 MM) AT THE MAXIMUM RANGE,,"STAND 11 TO 14, AXIAL PLAY MAX LIMIT TO BE RE-CHECKED AND MADE TO 60 MICRON","1. STAND 11 AND 12 ROLL PASS PROFILE DESIGN TO BE CHANGED TO MAKE THE OUT STOCK OF #12 MORE CIRCULAR
2. STAND 11 TO 14, AXIAL PLAY MAX LIMIT TO BE RE-CHECKED AND MADE TO 60 MICRON",,,DONE ,NOT FEASIBLE,2024-01-02,2024-01-02 09:26:00,2024-01-02 09:49:00,2024-01-02 00:00:00
2,2024-01-02 00:00:00,10 mm,165X165,1,,2024-02-01 09:50:23,2024-02-01 10:30:04,39.68333333333333,00:40,MILL AREA,STAND 13,ROLL SHOP,ROLL CROSS,2ND BILLET COBBLE BETWEEN STD.13 & STD.14. STD.13 CHANGED. TOP ROLL PLAY FOUND.,2024-01-02,2024-01-02 09:50:23,2024-01-02 10:30:04,related,[224],418,10 mm,,,2024-02-01 09:50:00,2024-02-01 10:30:00,40,STAND 13,2ND BILLET COBBLE BETWEEN STD.13 & STD.14. STD.13 CHANGED. TOP ROLL PLAY FOUND.,STAND 13 CHANGED AMD MILL STARTED,COBBLE HAPPEN BETWEEN STAND 13 AND 14,MATERIAL TWIST,TOP BOTTOM PASS IMPRESSION SHOWING CROSS,AXIAL PLAY IN TOP ROLL (0.08 TO 0.085 MM) AT THE MAXIMUM RANGE,,"STAND 11 TO 14, AXIAL PLAY MAX LIMIT TO BE RE-CHECKED AND MADE TO 60 MICRON","1. STAND 11 AND 12 ROLL PASS PROFILE DESIGN TO BE CHANGED TO MAKE THE OUT STOCK OF #12 MORE CIRCULAR
2. STAND 11 TO 14, AXIAL PLAY MAX LIMIT TO BE RE-CHECKED AND MADE TO 60 MICRON",,,DONE ,NOT FEASIBLE,2024-01-02,2024-01-02 09:50:00,2024-01-02 10:30:00,2024-01-02 00:00:00
3,2024-01-03 00:00:00,10 mm,150X150,1,1.0,2024-03-01 06:06:15,2024-03-01 06:16:17,10.033333333333331,00:10,MILL AREA,STAND 12,OPERATION,CHIPS STUCK INSIDE GUIDE,COBBLE DUE TO LINE 1 BAR CAME OUT FROM MULTILOOPER AFTER STAND 12. (1C+1H),2024-01-03,2024-01-03 06:06:15,2024-01-03 06:16:17,related,[226],420,10 mm,,,2024-03-01 06:06:00,2024-03-01 06:16:00,10,STAND 12,COBBLE DUE TO LINE 1 BAR CAME OUT FROM MULTILOOPER AFTER STAND 12. (1C+1H),COBBLE REMOVE MILL STARTED,HEAD TWISTED,HITTED IN MULTILOOPER,SLITTING NOT PROPER,SLITTER DISC WEAR OUT BUT IN RANGE AND #12 PARTING 2MM IN PLACE OF 1.5MM,,ENCOER TO BE MADE HEALTHY AND PARTING TO BE CHECKED,PARTING OF #12 AND SLITTER DISC TO BE CHECKED IN EVERY PLAN DELAY,,,DONE ,,2024-01-03,2024-01-03 06:06:00,2024-01-03 06:16:00,2024-01-03 00:00:00
4,2024-01-03 00:00:00,10 mm,150X150,1,1.0,2024-03-01 06:17:01,2024-03-01 07:12:00,54.98333333333334,00:55,MILL AREA,STAND 12,OPERATION,CHIPS STUCK INSIDE GUIDE,COBBLE DUE TO BOTH LINE BAR ENTRY IN MULTILOOPER LINE 2. (1C+1H),2024-01-03,2024-01-03 06:17:01,2024-01-03 07:12:00,related,[225],419,10 mm,,,2024-03-01 06:17:00,2024-03-01 07:12:00,55,STAND 12,COBBLE DUE TO BOTH LINE BAR ENTRY IN MULTILOOPER LINE 2. (1C+1H),"COBBLE REMOVE, SLITTER DISC CHANGE, MULTILOOPER CHANGE,#12 PARTING CHANGE,MILL STARTED",HEAD TWISTED,HITTED IN MULTILOOPER,SLITTING NOT PROPER,SLITTER DISC WEAR OUT BUT IN RANGE AND #12 PARTING 2MM IN PLACE OF 1.5MM,,ENCOER TO BE MADE HEALTHY AND PARTING TO BE CHECKED,"1. PARTING OF #12 AND SLITTER DISC TO BE CHECKED IN EVERY PLAN DELAY
2. ENCODER TO BE MADE HEALTHY",,,DONE ,,2024-01-03,2024-01-03 06:17:00,2024-01-03 07:12:00,2024-01-03 00:00:00
5,2024-01-03 00:00:00,10 mm,150X150,1,1.0,2024-03-01 18:18:25,2024-03-01 18:30:20,11.916666666666664,00:12,BGV,PINCH ROLL 3_1,MECHANICAL,Pressure Regulator Not working,"COBBLE IN LINE.1 BGV. DUE TO PR.3 PRESSURE DROPAGE IN HEAD. BGV FINISHING GUIDE CHANGED; BREAK-OUT BOX CHANGED, MILL CHECKED.(1C +1H)",2024-01-03,2024-01-03 18:18:25,2024-01-03 18:30:20,related,[227],421,10 mm,,,2024-03-01 18:18:00,2024-03-01 18:30:00,12,PINCH ROLL 3_1,"COBBLE IN LINE.1 BGV. DUE TO PR.3 PRESSURE DROPAGE IN HEAD. BGV FINISHING GUIDE CHANGED; BREAK-OUT BOX CHANGED, MILL CHECKED.(1C +1H)",COBBLE REMOVE MILL STARTED,MATERIAL SLIP IN PR-3A,TORQUE REACHED LATE,LEAKAGE IN CYLINDER,,,CYLINDER TO BE CROSS CHECKED FOR INTERNAL LEAKAGE,"1. CYLINDER TO BE CHECKED FOR ANY PRESSURE DROP BEFORE SENDING TO THE SITE
2. DC VALVE, NEED TO CHANGE EVERY YEAR",,,DONE ,,2024-01-03,2024-01-03 18:18:00,2024-01-03 18:30:00,2024-01-03 00:00:00
6,2024-01-03 00:00:00,10 mm,150X150,1,1.0,2024-03-01 18:43:12,2024-03-01 19:06:46,23.566666666666663,00:24,BGV,PINCH ROLL 3_1,MECHANICAL,Pressure Regulator Not working,COBBLE IN LINE.1 BGV. DUE TO PR.3 PRESSURE DROPAGE IN HEAD. STD.14 RE CHANGED (1C + 1H),2024-01-03,2024-01-03 18:43:12,2024-01-03 19:06:46,related,[228],422,10 mm,,,2024-03-01 18:43:00,2024-03-01 19:06:00,24,PINCH ROLL 3_1,COBBLE IN LINE.1 BGV. DUE TO PR.3 PRESSURE DROPAGE IN HEAD. STD.14 RE CHANGED (1C + 1H),"COBBLE REMOVE, MILL SPEED DECREASED, PR-3A PRESSURE INCREASED FROM5BAR TO 5.6 BAR,PARTING CLOSE  MILL STARTED",MATERIAL SLIP IN PR-3A,TORQUE REACHED LATE,LEAKAGE IN CYLINDER,,,CYLINDER TO BE CROSS CHECKED FOR INTERNAL LEAKAGE,"1. CYLINDER TO BE CHECKED FOR ANY PRESSURE DROP BEFORE SENDING TO THE SITE
2. DC VALVE, NEED TO CHANGE EVERY YEAR",,,DONE ,,2024-01-03,2024-01-03 18:43:00,2024-01-03 19:06:00,2024-01-03 00:00:00
7,2024-01-04 00:00:00,10 mm,150X150,1,1.0,2024-04-01 06:24:20,2024-04-01 06:30:17,5.949999999999999,00:06,BGV,BGV 1,UTILITY,GUIDE ROLL BROKEN,"UNDERSHOOT IN LINE 1A DUE TO BGV STAND 22 GUIDE REEL BROKEN. (1C+1H),Header blocked.",2024-01-04,2024-01-04 06:24:20,2024-01-04 06:30:17,related,[229],423,10 mm,,,2024-04-01 06:24:00,2024-04-01 06:54:00,30,BGV 1,UNDERSHOOT IN LINE 1A DUE TO BGV STAND 22 GUIDE REEL BROKEN. (1C+1H),"GUIDE CHANGED, COBBLE CLEARED AND MILL STARTED",UNDERSHOOT IN LINE 1A,GUIDE ROLL BROKEN (BOTTOM),WATER LINE BLOCKAGE,,,FLUSHING TO BE DONE IN NEXT OPPORTUNITY,1. FLUSHING PLAN DURING CENTRE LINE,,,DONE ,,2024-01-04,2024-01-04 06:24:00,2024-01-04 06:54:00,2024-01-04 00:00:00
8,2024-01-04 00:00:00,10 mm,150X150,1,1.0,2024-04-01 08:27:25,2024-04-01 08:30:17,2.8666666666666667,00:03,BGV,BGV 2,SMS,BILLET QUALITY NOT OK,"COBBLE IN LINE BGV DUE TO ONE SMALL CHPS PC WAS STUCK IN LINE AFTER BGV FUNNEL. (1C+1H)HEAT NUMBER-240080 , 150 SIZE HOT CHARGE",2024-01-04,2024-01-04 08:27:25,2024-01-04 08:30:17,related,[230],424,10 mm,,,2024-04-01 08:27:00,2024-04-01 08:49:00,23,BGV 2,"COBBLE IN LINE BGV DUE TO ONE SMALL CHPS PC WAS STUCK IN LINE AFTER BGV FUNNEL. (1C+1H)HEAT NUMBER-240080 , 150 SIZE HOT CHARGE","CHIPS REMOVED, COBBLE REMOVED AND MILL STARTED",COBBLE DUE TO CHIPS IN BGV FUNNEL,CHIPS CARRY OVER AND STUCK,,,,CHIPS TO BE REMOVED ON REGULAT INTERVAL,"1. FREQUENCY OF CHIPS CHECKING TO BE PLANNED
2. RANDOM CHECK FOR CHIPS REMOVAL IN MILL TO BE ENSURED BY AREA INCHARGE",,,DONE ,,2024-01-04,2024-01-04 08:27:00,2024-01-04 08:49:00,2024-01-04 00:00:00
9,2024-01-04 00:00:00,25 mm,150X150,1,1.0,2024-04-01 20:38:05,2024-04-01 21:13:00,34.916666666666664,00:35,APRON LINE,ART,MECHANICAL,UNDERSHOOT,COBBLE AFTER STAND 14 DUE TO BAR CAME OUT FROM APRON. (1C+1H),2024-01-04,2024-01-04 20:38:05,2024-01-04 21:13:00,related,[231],426,25 mm,,,2024-04-01 20:38:00,2024-04-01 21:13:00,35,ART,COBBLE AFTER STAND 14 DUE TO BAR CAME OUT FROM APRON. (1C+1H),COBBLE REMOVED AND MILL STARTED,FRONT END CAME OUT FROM APRON INTERMEDIATE POSITION,INTERMEDIATE POSITION MISMATCHED NEAR TAIL BREAKER,HYDRAULIC PRESSURE NOT HOLD IN CLYLINDER NO. 2,CHECK VALVE NOT HOLDNG THE PRESSURE,,HYDRAULIC PRESSURE & ART POSITION TO BE CHECKED FOR ENTIRE APRON BEFORE EVERY  CENTERLINE,"1. POSSIBILITY OF PR GUAGE FIXING IN EACH LINE TO BE CHECKED
2. HYDRAULIC PRESSURE & ART POSITION TO BE CHECKED FOR ENTIRE APRON BEFORE EVERY  CENTERLINE  
3. POSSIBILITY OF CHANGING CYLINDER TO LVDT OR DOUBLE PISTON TO BE ENVISAGED",,,DONE ,INTERMEDEATE POSITION REQUIRED FOR DOUBLE PISTON CYLINDER,2024-01-04,2024-01-04 20:38:00,2024-01-04 21:13:00,2024-01-04 00:00:00
