date,size,billet_size,cobble,hot_out,delay_from,delay_to,delay_minutes,total_delay_hm,area,device,agency,reason,description,delay_event_date,delay_start_time,delay_end_time
2024-01-01 00:00:00,25 mm,150X150,1,,2024-01-01 02:57:30,2024-01-01 04:11:53,74.38333333333334,01:14,MILL AREA,STAND 6,OPERATION,HEAD SLIPPED,"BILLET HEAD SLIPPED IN STAND 06 ENTRY, COBBLE IN ROUGHING MILL. (1C)",2024-01-01,2024-01-01 02:57:30,2024-01-01 04:11:53
2024-01-02 00:00:00,10 mm,165X165,1,1.0,2024-02-01 09:26:31,2024-02-01 09:30:12,3.6833333333333336,00:04,MILL AREA,STAND 13,ROLL SHOP,ROLL CROSS,1ST BILLET COBBLE BETWEEN STD.13 & STD.14. TROUGH CHANGED,2024-01-02,2024-01-02 09:26:31,2024-01-02 09:30:12
2024-01-02 00:00:00,10 mm,165X165,1,,2024-02-01 09:50:23,2024-02-01 10:30:04,39.68333333333333,00:40,MILL AREA,STAND 13,ROLL SHOP,ROLL CROSS,2ND BILLET COBBLE BETWEEN STD.13 & STD.14. STD.13 CHANGED. TOP ROLL PLAY FOUND.,2024-01-02,2024-01-02 09:50:23,2024-01-02 10:30:04
2024-01-03 00:00:00,10 mm,150X150,1,1.0,2024-03-01 06:06:15,2024-03-01 06:16:17,10.033333333333331,00:10,MILL AREA,STAND 12,OPERATION,CHIPS STUCK INSIDE GUIDE,COBBLE DUE TO LINE 1 BAR CAME OUT FROM MULTILOOPER AFTER STAND 12. (1C+1H),2024-01-03,2024-01-03 06:06:15,2024-01-03 06:16:17
2024-01-03 00:00:00,10 mm,150X150,1,1.0,2024-03-01 06:17:01,2024-03-01 07:12:00,54.98333333333334,00:55,MILL AREA,STAND 12,OPERATION,CHIPS STUCK INSIDE GUIDE,COBBLE DUE TO BOTH LINE BAR ENTRY IN MULTILOOPER LINE 2. (1C+1H),2024-01-03,2024-01-03 06:17:01,2024-01-03 07:12:00
2024-01-03 00:00:00,10 mm,150X150,1,1.0,2024-03-01 18:18:25,2024-03-01 18:30:20,11.916666666666664,00:12,BGV,PINCH ROLL 3_1,MECHANICAL,Pressure Regulator Not working,"COBBLE IN LINE.1 BGV. DUE TO PR.3 PRESSURE DROPAGE IN HEAD. BGV FINISHING GUIDE CHANGED; BREAK-OUT BOX CHANGED, MILL CHECKED.(1C +1H)",2024-01-03,2024-01-03 18:18:25,2024-01-03 18:30:20
2024-01-03 00:00:00,10 mm,150X150,1,1.0,2024-03-01 18:43:12,2024-03-01 19:06:46,23.566666666666663,00:24,BGV,PINCH ROLL 3_1,MECHANICAL,Pressure Regulator Not working,COBBLE IN LINE.1 BGV. DUE TO PR.3 PRESSURE DROPAGE IN HEAD. STD.14 RE CHANGED (1C + 1H),2024-01-03,2024-01-03 18:43:12,2024-01-03 19:06:46
2024-01-04 00:00:00,10 mm,150X150,1,1.0,2024-04-01 06:24:20,2024-04-01 06:30:17,5.949999999999999,00:06,BGV,BGV 1,UTILITY,GUIDE ROLL BROKEN,"UNDERSHOOT IN LINE 1A DUE TO BGV STAND 22 GUIDE REEL BROKEN. (1C+1H),Header blocked.",2024-01-04,2024-01-04 06:24:20,2024-01-04 06:30:17
2024-01-04 00:00:00,10 mm,150X150,1,1.0,2024-04-01 08:27:25,2024-04-01 08:30:17,2.8666666666666667,00:03,BGV,BGV 2,SMS,BILLET QUALITY NOT OK,"COBBLE IN LINE BGV DUE TO ONE SMALL CHPS PC WAS STUCK IN LINE AFTER BGV FUNNEL. (1C+1H)HEAT NUMBER-240080 , 150 SIZE HOT CHARGE",2024-01-04,2024-01-04 08:27:25,2024-01-04 08:30:17
2024-01-04 00:00:00,25 mm,150X150,1,1.0,2024-04-01 20:38:05,2024-04-01 21:13:00,34.916666666666664,00:35,APRON LINE,ART,MECHANICAL,UNDERSHOOT,COBBLE AFTER STAND 14 DUE TO BAR CAME OUT FROM APRON. (1C+1H),2024-01-04,2024-01-04 20:38:05,2024-01-04 21:13:00
